All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
137       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:45:23 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
138       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:45:23 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
139       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:45:24 	A regain movement has started.	{args: "0"}
140       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:45:24 	The regain movement is ready.	{args: "0"}
141       	I   	Operational         	10151   	Program started                         	2017-03-22 05:45:24 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
142       	I   	Operational         	10151   	Program started                         	2017-03-22 05:45:24 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
143       	I   	Operational         	10151   	Program started                         	2017-03-22 05:45:24 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
144       	W   	Program             	41571   	Socket error                            	2017-03-22 05:45:24 	Task: SENDER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_s/init_socket/SocketBind/703.	{args: "SENDER", "/A009_ComRhino_s/init_socket/SocketBind/703", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30004:0.000000"}
145       	W   	Program             	41571   	Socket error                            	2017-03-22 05:45:24 	Task: RECEIVER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_r/init_socket/SocketBind/701.	{args: "RECEIVER", "/A009_ComRhino_r/init_socket/SocketBind/701", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30003:0.000000"}
146       	E   	Program             	41570   	Socket error                            	2017-03-22 05:45:24 	Task: SENDER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_s/wait_for_client/SocketAccept/724.	{args: "SENDER", "/A009_ComRhino_s/wait_for_client/SocketAccept/724", " ", "-7:8:1:127.0.0.1:30004:1.000000"}
147       	E   	Program             	40223   	Execution error                         	2017-03-22 05:45:24 	The execution of task SENDER has been stopped by a runtime error.	{args: "SENDER"}
148       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:45:24 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
149       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:45:24 	The task SENDER has stopped. The reason is that an error has occurred.	{args: "4", "SENDER"}
150       	E   	Program             	41570   	Socket error                            	2017-03-22 05:45:24 	Task: RECEIVER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_r/wait_for_client/SocketAccept/722.	{args: "RECEIVER", "/A009_ComRhino_r/wait_for_client/SocketAccept/722", " ", "-7:8:1:127.0.0.1:30003:1.000000"}
151       	E   	Program             	40223   	Execution error                         	2017-03-22 05:45:24 	The execution of task RECEIVER has been stopped by a runtime error.	{args: "RECEIVER"}
152       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:45:24 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
153       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:45:24 	The task RECEIVER has stopped. The reason is that an error has occurred.	{args: "3", "RECEIVER"}
154       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:45:56 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
155       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:45:56 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
156       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:45:56 	A regain movement has started.	{args: "0"}
157       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:45:56 	The regain movement is ready.	{args: "0"}
158       	I   	Operational         	10156   	Program restarted                       	2017-03-22 05:45:56 	Execution of task RECEIVER has been restarted from where it was previously stopped. The originator is an external client.	{args: "3", "RECEIVER"}
159       	I   	Operational         	10156   	Program restarted                       	2017-03-22 05:45:56 	Execution of task SENDER has been restarted from where it was previously stopped. The originator is an external client.	{args: "4", "SENDER"}
160       	E   	Program             	41570   	Socket error                            	2017-03-22 05:45:56 	Task: RECEIVER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_r/wait_for_client/SocketAccept/722.	{args: "RECEIVER", "/A009_ComRhino_r/wait_for_client/SocketAccept/722", " ", "-7:8:1:127.0.0.1:30003:1.000000"}
161       	E   	Program             	40223   	Execution error                         	2017-03-22 05:45:56 	The execution of task RECEIVER has been stopped by a runtime error.	{args: "RECEIVER"}
162       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:45:56 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
163       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:45:56 	The task RECEIVER has stopped. The reason is that an error has occurred.	{args: "3", "RECEIVER"}
164       	E   	Program             	41570   	Socket error                            	2017-03-22 05:45:56 	Task: SENDER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_s/wait_for_client/SocketAccept/724.	{args: "SENDER", "/A009_ComRhino_s/wait_for_client/SocketAccept/724", " ", "-7:8:1:127.0.0.1:30004:1.000000"}
165       	E   	Program             	40223   	Execution error                         	2017-03-22 05:45:56 	The execution of task SENDER has been stopped by a runtime error.	{args: "SENDER"}
166       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:45:56 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
167       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:45:56 	The task SENDER has stopped. The reason is that an error has occurred.	{args: "4", "SENDER"}
168       	I   	Operational         	10125   	Program stopped                         	2017-03-22 05:45:59 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
169       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:46:09 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
170       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:46:09 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
171       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:46:09 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
172       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:46:09 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
173       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:46:09 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
174       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:46:11 	A regain movement has started.	{args: "0"}
175       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:46:11 	The regain movement is ready.	{args: "0"}
176       	I   	Operational         	10151   	Program started                         	2017-03-22 05:46:11 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
177       	I   	Operational         	10151   	Program started                         	2017-03-22 05:46:11 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
178       	I   	Operational         	10151   	Program started                         	2017-03-22 05:46:11 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
179       	W   	Program             	41571   	Socket error                            	2017-03-22 05:46:11 	Task: SENDER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_s/init_socket/SocketBind/703.	{args: "SENDER", "/A009_ComRhino_s/init_socket/SocketBind/703", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30004:0.000000"}
180       	W   	Program             	41571   	Socket error                            	2017-03-22 05:46:11 	Task: RECEIVER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_r/init_socket/SocketBind/701.	{args: "RECEIVER", "/A009_ComRhino_r/init_socket/SocketBind/701", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30003:0.000000"}
181       	E   	Program             	41570   	Socket error                            	2017-03-22 05:46:11 	Task: SENDER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_s/wait_for_client/SocketAccept/724.	{args: "SENDER", "/A009_ComRhino_s/wait_for_client/SocketAccept/724", " ", "-7:8:1:127.0.0.1:30004:1.000000"}
182       	E   	Program             	40223   	Execution error                         	2017-03-22 05:46:11 	The execution of task SENDER has been stopped by a runtime error.	{args: "SENDER"}
183       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:46:11 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
184       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:46:11 	The task SENDER has stopped. The reason is that an error has occurred.	{args: "4", "SENDER"}
185       	E   	Program             	41570   	Socket error                            	2017-03-22 05:46:11 	Task: RECEIVER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_r/wait_for_client/SocketAccept/722.	{args: "RECEIVER", "/A009_ComRhino_r/wait_for_client/SocketAccept/722", " ", "-7:8:1:127.0.0.1:30003:1.000000"}
186       	E   	Program             	40223   	Execution error                         	2017-03-22 05:46:11 	The execution of task RECEIVER has been stopped by a runtime error.	{args: "RECEIVER"}
187       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:46:11 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
188       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:46:11 	The task RECEIVER has stopped. The reason is that an error has occurred.	{args: "3", "RECEIVER"}
189       	I   	Operational         	10125   	Program stopped                         	2017-03-22 05:46:42 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
190       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:46:56 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
191       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:46:56 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
192       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:46:56 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
193       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:46:56 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
194       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:46:56 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
195       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:46:57 	A regain movement has started.	{args: "0"}
196       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:46:57 	The regain movement is ready.	{args: "0"}
197       	I   	Operational         	10151   	Program started                         	2017-03-22 05:46:57 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
198       	I   	Operational         	10151   	Program started                         	2017-03-22 05:46:57 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
199       	I   	Operational         	10151   	Program started                         	2017-03-22 05:46:57 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
200       	W   	Program             	41571   	Socket error                            	2017-03-22 05:46:57 	Task: SENDER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_s/init_socket/SocketBind/703.	{args: "SENDER", "/A009_ComRhino_s/init_socket/SocketBind/703", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30004:0.000000"}
201       	W   	Program             	41571   	Socket error                            	2017-03-22 05:46:57 	Task: RECEIVER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_r/init_socket/SocketBind/701.	{args: "RECEIVER", "/A009_ComRhino_r/init_socket/SocketBind/701", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30003:0.000000"}
